ImageNumber,Drug,Time,ID,Pathology,ScanFreq,Run,Label,Stain,Center_X,Center_Y,Lifetime
1,ATG,24hr,3241,Thrombosis,10.26,1,2,mLy6G,450.875,506.2083333333333,1
2,ATG,24hr,3241,Thrombosis,10.26,1,2,mLy6G,451.64516129032256,505.7741935483871,2
3,ATG,24hr,3241,Thrombosis,10.26,1,2,mLy6G,452.3636363636364,504.8181818181818,3
4,ATG,24hr,3241,Thrombosis,10.26,1,2,mLy6G,452.34375,503.8125,4
5,ATG,24hr,3241,Thrombosis,10.26,1,2,mLy6G,452.3243243243243,502.6756756756757,5
6,ATG,24hr,3241,Thrombosis,10.26,1,2,mLy6G,451.7692307692308,502.7948717948718,6
7,ATG,24hr,3241,Thrombosis,10.26,1,2,mLy6G,452.1,501.475,7
8,ATG,24hr,3241,Thrombosis,10.26,1,2,mLy6G,451.3103448275862,501.7241379310345,8
1,ATG,24hr,3241,Thrombosis,10.26,1,5,mLy6G,48.166666666666664,496.5,1
2,ATG,24hr,3241,Thrombosis,10.26,1,5,mLy6G,48.15384615384615,495.9230769230769,2
3,ATG,24hr,3241,Thrombosis,10.26,1,5,mLy6G,48.208333333333336,496.0416666666667,3
4,ATG,24hr,3241,Thrombosis,10.26,1,5,mLy6G,47.84,496.08,4
5,ATG,24hr,3241,Thrombosis,10.26,1,5,mLy6G,48.130434782608695,495.69565217391306,5
6,ATG,24hr,3241,Thrombosis,10.26,1,5,mLy6G,48.23809523809524,495.8095238095238,6
7,ATG,24hr,3241,Thrombosis,10.26,1,5,mLy6G,48,495.85714285714283,7
8,ATG,24hr,3241,Thrombosis,10.26,1,5,mLy6G,48.07692307692308,497.03846153846155,8
9,ATG,24hr,3241,Thrombosis,10.26,1,5,mLy6G,48.81818181818182,496.59090909090907,9
1,ATG,24hr,3241,Thrombosis,10.26,1,7,mLy6G,263.87301587301585,491.3809523809524,1
2,ATG,24hr,3241,Thrombosis,10.26,1,7,mLy6G,263.06666666666666,492.3466666666667,2
3,ATG,24hr,3241,Thrombosis,10.26,1,7,mLy6G,263.17808219178085,492.09589041095893,3
4,ATG,24hr,3241,Thrombosis,10.26,1,7,mLy6G,263.42028985507244,492.17391304347825,4
5,ATG,24hr,3241,Thrombosis,10.26,1,7,mLy6G,263.4428571428571,492.1714285714286,5
6,ATG,24hr,3241,Thrombosis,10.26,1,7,mLy6G,264.01612903225805,491.14516129032256,6
7,ATG,24hr,3241,Thrombosis,10.26,1,7,mLy6G,263.4782608695652,492,7
